Date,Name,Year,Letterboxd URI
2022-04-18,Halloween,2018,https://boxd.it/f0uE
2022-04-18,Freaky Friday,2003,https://boxd.it/1WwK
2022-04-18,My Girl,1991,https://boxd.it/24PK
2022-04-18,Beverly Hills Chihuahua,2008,https://boxd.it/1Ob0
2022-04-18,Swiss Army Man,2016,https://boxd.it/bDG2
2022-04-18,Human Flow,2017,https://boxd.it/gLUw
2022-04-18,The Wailing,2016,https://boxd.it/9fLy
2022-04-18,We Need to Talk About Kevin,2011,https://boxd.it/2pTS
2022-04-18,Snowpiercer,2013,https://boxd.it/3Icg
2022-04-18,It Comes at Night,2017,https://boxd.it/eLuk
2022-04-18,Green Room,2015,https://boxd.it/a75m
2022-04-18,Sinister,2012,https://boxd.it/2TnW
2022-04-18,Super Dark Times,2017,https://boxd.it/dTle
2022-04-18,Cube,1997,https://boxd.it/2aoU
2022-04-18,Queen & Slim,2019,https://boxd.it/jy4y
2022-04-18,Lord of the Flies,1963,https://boxd.it/1Xqy
2022-04-18,Creep,2014,https://boxd.it/7l4c
2022-04-18,Oculus,2013,https://boxd.it/4W9M
2022-04-18,The Cabin in the Woods,2011,https://boxd.it/1zOc
2022-04-18,Fritz the Cat,1972,https://boxd.it/1RCI
2022-04-18,Being John Malkovich,1999,https://boxd.it/2ahu
2022-04-19,Nathan for You: Finding Frances,2017,https://boxd.it/hufy
2022-04-19,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,https://boxd.it/tbhu
2022-04-19,Grey Gardens,1975,https://boxd.it/1INM
2022-04-19,Boys State,2020,https://boxd.it/oiNW
2022-04-22,Felix in Exile,1994,https://boxd.it/5AnO
2022-04-22,Mine,1991,https://boxd.it/958w
2022-05-03,Solo: A Star Wars Story,2018,https://boxd.it/bGWs
2022-05-03,How the Grinch Stole Christmas,2000,https://boxd.it/1ZHQ
2022-05-03,Chernobyl,2019,https://boxd.it/mkbG
2022-05-03,Icarus,2017,https://boxd.it/fmje
2022-05-03,Neon Genesis Evangelion,1995,https://boxd.it/ptEI
2022-05-05,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk
2022-05-08,The Northman,2022,https://boxd.it/nK2s
2022-05-08,Split,2016,https://boxd.it/dgSy
2022-05-08,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS
2022-05-08,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI
2022-05-08,Home Alone,1990,https://boxd.it/29Fg
2022-05-08,Home Alone 2: Lost in New York,1992,https://boxd.it/29F6
2022-05-08,Percy Jackson & the Olympians: The Lightning Thief,2010,https://boxd.it/1gJi
2022-05-08,Pixels,2015,https://boxd.it/7BaA
2022-05-08,The Hateful Eight,2015,https://boxd.it/8gw8
2022-05-08,Furious 7,2015,https://boxd.it/5cVs
2022-05-08,F9,2021,https://boxd.it/dqsU
2022-05-08,The Fate of the Furious,2017,https://boxd.it/bbCw
2022-05-08,Pinocchio,1940,https://boxd.it/1V8C
2022-05-08,Fantasia,1940,https://boxd.it/29HG
2022-05-08,Paisan,1946,https://boxd.it/20ay
2022-05-08,Pather Panchali,1955,https://boxd.it/22yC
2022-05-08,The Battle of Algiers,1966,https://boxd.it/1IRY
2022-05-08,The Jungle Book,1967,https://boxd.it/1YY2
2022-05-11,Amélie,2001,https://boxd.it/2aUc
2022-05-20,Flee,2021,https://boxd.it/ponM
2022-05-25,Sorry to Bother You,2018,https://boxd.it/f21E
2022-05-26,Paprika,2006,https://boxd.it/23wW
2022-05-26,Jiro Dreams of Sushi,2011,https://boxd.it/2ONU
2022-05-27,Jackass 4.5,2022,https://boxd.it/vfTm
2022-05-27,Morbius,2022,https://boxd.it/j978
2022-05-27,Slender,2016,https://boxd.it/dAty
2022-05-28,Vortex,2021,https://boxd.it/uoni
2022-05-29,Suicide Squad,2016,https://boxd.it/9row
2022-05-29,Justice League,2017,https://boxd.it/4w68
2022-05-29,Fahrenheit 9/11,2004,https://boxd.it/28a2
2022-06-04,Back to the Future,1985,https://boxd.it/2b8e
2022-06-20,The Eyes of Tammy Faye,2021,https://boxd.it/mbB6
2022-06-27,Minions,2015,https://boxd.it/6jCO
2022-07-01,Mad God,2021,https://boxd.it/vVPm
2022-07-01,Free Guy,2021,https://boxd.it/k8dm
2022-07-01,Minions: The Rise of Gru,2022,https://boxd.it/fz9w
2022-07-02,My Scientology Movie,2015,https://boxd.it/cedw
2022-07-04,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw
2022-07-04,"Rome, Open City",1945,https://boxd.it/2aD6
2022-07-11,GoodFellas,1990,https://boxd.it/29FA
2022-07-17,The Queen of Versailles,2012,https://boxd.it/2Y4A
2022-07-21,"Good Luck to You, Leo Grande",2022,https://boxd.it/stYk
2022-07-21,Fire of Love,2022,https://boxd.it/yoPY
2022-07-22,Bowling for Columbine,2002,https://boxd.it/28Ls
2022-07-22,Nope,2022,https://boxd.it/sDCe
2022-07-28,The Internship,2013,https://boxd.it/3SWS
2022-08-03,Antichrist,2009,https://boxd.it/1Inu
2022-08-05,Gladiator,2000,https://boxd.it/2b9m
2022-08-05,House of Gucci,2021,https://boxd.it/nVkC
2022-09-03,Thirteen Lives,2022,https://boxd.it/q7O4
2022-09-08,The Diving Bell and the Butterfly,2007,https://boxd.it/27Di
2022-09-13,A Fantastic Woman,2017,https://boxd.it/fcGi
2022-09-13,Memoria,2021,https://boxd.it/iwtE
